"method","mstop","theta_hat","direct","min_threshold_gap","max_contrast_spread","max_probability_error","backfit_iterations","backfit_converged","max_condition_number","error","replication","seed","sample_signature","fold_signature"
"pure",10000,1.08801402758106,1.04331564138962,1.05413245358768,6.3720969080176e-16,2.22044604925031e-16,0,1,NA,"",16,192016,14352682,13478033
"pure",500,0.893672817695317,0.820118769357613,0.876023418041004,2.92965792266176e-16,2.22044604925031e-16,0,1,NA,"",17,192017,14485789,13469173
"pure",1000,0.912141054909205,0.864431326311615,0.893796501245273,4.20649902984081e-16,2.22044604925031e-16,0,1,NA,"",17,192017,14485789,13469173
"pure",2000,0.929654155953142,0.89779536560889,0.909350166073666,5.12515764221347e-16,2.22044604925031e-16,0,1,NA,"",17,192017,14485789,13469173
"pure",5000,0.953506597366774,0.931718284613182,0.931820388665597,6.29722113413468e-16,2.22044604925031e-16,0,1,NA,"",17,192017,14485789,13469173
"pure",10000,0.970361399490036,0.94838808348196,0.950214132587825,6.08601573923356e-16,2.22044604925031e-16,0,1,NA,"",17,192017,14485789,13469173
"pure",500,1.07997151989143,0.996335918831579,0.918593823913917,3.14378698686515e-16,2.22044604925031e-16,0,1,NA,"",18,192018,14386509,13489244
"pure",1000,1.09936588953508,1.03792041269663,0.936713517803154,4.39056346948622e-16,2.22044604925031e-16,0,1,NA,"",18,192018,14386509,13489244
"pure",2000,1.11813636495877,1.07158850517913,0.953013967871695,5.73292776084392e-16,2.22044604925031e-16,0,1,NA,"",18,192018,14386509,13489244
"pure",5000,1.14270118939305,1.11020947981757,0.975270493716236,5.87684929718338e-16,2.22044604925031e-16,0,1,NA,"",18,192018,14386509,13489244
"pure",10000,1.15881705945226,1.13208880406829,0.991345999147371,6.61981477193583e-16,2.22044604925031e-16,0,1,NA,"",18,192018,14386509,13489244
"pure",500,0.941243119364836,0.851323017609153,0.951412907655313,3.03013237494046e-16,2.22044604925031e-16,0,1,NA,"",19,192019,14322743,13536853
"pure",1000,0.958777822597911,0.893455083681897,0.97118994470322,4.24860279148045e-16,2.22044604925031e-16,0,1,NA,"",19,192019,14322743,13536853
"pure",2000,0.975714003081566,0.927214141257047,0.99080372592346,5.23440598669416e-16,2.22044604925031e-16,0,1,NA,"",19,192019,14322743,13536853
"pure",5000,0.998068721766552,0.966734247902195,1.01759220999649,5.81772739366599e-16,2.22044604925031e-16,0,1,NA,"",19,192019,14322743,13536853
"pure",10000,1.01286389482559,0.988753285369685,1.03472042989547,6.27840363489519e-16,2.22044604925031e-16,0,1,NA,"",19,192019,14322743,13536853
"pure",500,1.03819661562581,0.914518091370498,0.978696469045361,3.4250927707088e-16,2.22044604925031e-16,0,1,NA,"",20,192020,14314807,13512126
"pure",1000,1.06149716224859,0.970070300389553,1.00187176500455,4.37859590296349e-16,2.22044604925031e-16,0,1,NA,"",20,192020,14314807,13512126
"pure",2000,1.08317625486917,1.01868102805497,1.02353851567784,5.45029808705132e-16,2.22044604925031e-16,0,1,NA,"",20,192020,14314807,13512126
"pure",5000,1.10708820542311,1.07024370372888,1.05029031065482,6.23102871132961e-16,2.22044604925031e-16,0,1,NA,"",20,192020,14314807,13512126
"pure",10000,1.12133809534681,1.10444434181425,1.06725543017001,6.12846977673003e-16,2.22044604925031e-16,0,1,NA,"",20,192020,14314807,13512126
