"seed","selection","truth","direct","raw_label","index_projection","sudo","scaled","orthogonal","targeted_projection","targeted_sudo","correction","kappa","clipping_rate","max_inverse_information","direct_contrast_spread","target_failure","index_rmse","index_correlation","oracle_sudo","oracle_orthogonal","sample_signature","fold_signature","error","cell","primary","clip","cell_n","cell_p","outer_folds","inner_folds","replication"
1613087,"min",0.75,0.715697085482487,0.142787513080843,0.714255550171535,0.734496385852725,0.754697422336919,0.755523941842526,0.7903529460508,0.776733006346884,0.0202408356811905,0.499507945665397,0.000333333333333342,1001.001001001,8.43769498715119e-15,0,0.328275074078095,0.984391446285829,0.777566675761523,0.762450370591591,2178989,13541301,NA,"randomized",TRUE,0.001,3000,80,5,5,87
1613087,"one_se",0.75,0.655156588724445,0.142787513080843,0.654414960728559,0.693395380462327,0.728461200680724,0.748068851286643,0.779194516970081,0.757640121485902,0.0389804197337688,0.473566520609955,0,553.483397412643,4.44089209850063e-15,0,0.443136462326202,0.987680236646285,0.777566675761523,0.762450370591591,2178989,13541301,NA,"randomized",TRUE,0.001,3000,80,5,5,87
1613088,"min",0.75,0.641655916726558,0.128684148236076,0.637922626185603,0.658221258499387,0.676405013755958,0.700120783031449,0.695510465975431,0.689528626578059,0.0202986323137834,0.4725214937178,0,389.435708417363,9.32587340685131e-15,0,0.345619065631973,0.976981246788384,0.730484547679128,0.720281706697906,2197154,13463884,NA,"randomized",TRUE,0.001,3000,80,5,5,88
1613088,"one_se",0.75,0.570818427430167,0.128684148236076,0.567315513350604,0.609664663497956,0.64344600914555,0.678740838018862,0.68263583236256,0.666209055735462,0.0423491501473523,0.443729484418207,0,115.575290779498,3.99680288865056e-15,0,0.442241141288239,0.985447050682645,0.730484547679128,0.720281706697906,2197154,13463884,NA,"randomized",TRUE,0.001,3000,80,5,5,88
1613089,"min",0.75,0.659097613271925,0.132889775642884,0.659169115445703,0.678371350395723,0.696767964368962,0.6954321640974,0.715219273877639,0.707706948922296,0.0192022349500206,0.489286627119533,0,632.472485933526,8.43769498715119e-15,0,0.37159758393915,0.978385598731092,0.740782940542621,0.709133138606677,2260323,13611944,NA,"randomized",TRUE,0.001,3000,80,5,5,89
1613089,"one_se",0.75,0.598181720246388,0.132889775642884,0.597518197548144,0.633279034340741,0.663900819753355,0.681191479606879,0.70799662160801,0.690678446535791,0.0357608367925967,0.461292193579699,0,202.370214926388,3.77475828372553e-15,0,0.477165456635656,0.985532657076485,0.740782940542621,0.709133138606677,2260323,13611944,NA,"randomized",TRUE,0.001,3000,80,5,5,89
1613090,"min",0.75,0.590286741365247,0.124663851491835,0.590532625736347,0.613646811327917,0.633442408839824,0.65167344398127,0.64446137967124,0.641027282737209,0.02311418559157,0.461330635584198,0,335.926768574323,5.55111512312578e-15,0,0.389988443654607,0.974700478271408,0.705582117963743,0.652827321583735,2227626,13504713,NA,"randomized",TRUE,0.001,3000,80,5,5,90
1613090,"one_se",0.75,0.526972498757707,0.124663851491835,0.52816749358621,0.57177337864857,0.605114585951207,0.631677792985731,0.631271628985656,0.617887573063307,0.0436058850623595,0.433300418220923,0,102.587265593915,3.44169137633799e-15,0,0.498946036974977,0.983117539534482,0.705582117963743,0.652827321583735,2227626,13504713,NA,"randomized",TRUE,0.001,3000,80,5,5,90
1613091,"min",0.75,0.651529521696937,0.134342844313332,0.653144376304269,0.6748432833603,0.695117887174696,0.668334263960698,0.717364703409898,0.707966641769443,0.0216989070560307,0.483033308244915,0.000333333333333345,1001.001001001,8.21565038222616e-15,0,0.347486678312141,0.981666236518418,0.736595253196328,0.612144181511161,2186484,13616325,NA,"randomized",TRUE,0.001,3000,80,5,5,91
1613091,"one_se",0.75,0.590704200344501,0.134342844313332,0.591866903996805,0.634372722929576,0.669855427180335,0.672240178519799,0.710550513927148,0.692612890050117,0.0425058189327716,0.454973408936817,0,357.400248099752,3.5527136788005e-15,0,0.464811419262239,0.986202787452367,0.736595253196328,0.612144181511161,2186484,13616325,NA,"randomized",TRUE,0.001,3000,80,5,5,91
